DEFENSE,DEF RATING,GM,FPPG,FPPG RANK,FPTS,FPTS RANK,TACKLES,SOLO,ASSIST,PASS DEF,SACKS,INT,FF,FR,SFTY,TD
"New England Patriots",95,16,14,1,224,1,61.3,43.6,17.8,5.8,2.9,1.6,1.1,0.7,0.1,0
"Pittsburgh Steelers",93,16,11.2,2,180,2,71.7,49.2,22.5,5.5,3.4,1.2,1.8,1.1,0,0
"San Francisco 49ers",92,16,10.2,3,163,3,63.6,45.4,18.2,5,3,0.8,1.4,0.9,0,0
"Baltimore Ravens",89,16,9.4,4,150,4,55.2,39.3,15.9,4.9,2.3,0.8,0.9,0.8,0.1,0
"Los Angeles Rams",82,16,9.1,5,146,5,64.2,41.9,22.3,4.6,3.1,0.8,0.9,0.7,0.1,0
"Kansas City Chiefs",83,16,9,6,144,6,60.7,41.8,18.9,3.9,2.8,1,0.8,0.4,0,0
"Minnesota Vikings",85,16,8.9,7,143,7,61.6,44.4,17.2,5,3,1.1,1.1,0.9,0.1,0
"New Orleans Saints",81,16,8.8,8,141,8,55.6,40.9,14.6,5.1,3.2,0.8,0.6,0.6,0.1,0
"Tampa Bay Buccaneers",86,16,8.6,9,137,9,57.1,42,15.1,5.6,2.9,0.8,1.3,1,0,0
"Buffalo Bills",86,16,8.1,10,130,10,61.2,42.6,18.6,4.8,2.8,0.8,1,0.6,0.1,0
"Indianapolis Colts",78,16,7.9,11,126,11,66.4,47.6,18.8,3.1,2.6,0.9,0.9,0.5,0.1,0
"Tennessee Titans",79,16,7.8,12,125,12,66,44.4,21.6,4,2.7,0.8,0.6,0.6,0.1,0
"Seattle Seahawks",78,16,7.4,13,118,13,63.1,39.1,24,4.7,1.8,1.1,1.2,1,0,0
"New York Jets",80,16,7.1,14,114,14,58.4,40.9,17.5,3.6,2.2,0.6,0.6,0.6,0.1,0
"Green Bay Packers",79,16,6.9,15,110,15,57.1,39.8,17.4,4.6,2.6,1.1,0.8,0.5,0,0
"Philadelphia Eagles",80,16,6.8,16,109,16,59.7,41.6,18.1,5.8,2.7,0.8,1,0.6,0,0
"Chicago Bears",85,16,6.6,17,105,17,63,47.9,15.1,4.6,2,0.6,0.8,0.6,0.1,0
"Denver Broncos",80,16,6.3,18,101,18,61.1,40.1,20.9,4.1,2.5,0.6,0.6,0.4,0,0
"Dallas Cowboys",76,16,6.2,19,99,19,63.7,41.7,22,4.5,2.4,0.4,0.8,0.6,0,0
"Jacksonville Jaguars",72,16,6.2,19,99,19,61,42.4,18.6,3.7,2.9,0.6,0.9,0.6,0,0
"Atlanta Falcons",76,16,6,21,96,21,63.6,39.5,24.1,3.4,1.8,0.7,1.1,0.5,0,0
"Carolina Panthers",72,16,5.7,22,91,22,58.1,40.2,17.9,3.8,3.3,0.7,0.4,0.4,0.1,0
"Houston Texans",71,16,5.6,23,90,23,63.4,43.1,20.3,4.8,1.9,0.8,0.8,0.6,0,0
"Cleveland Browns",74,16,5.4,24,87,24,58.6,42.4,16.2,3.9,2.4,0.8,0.6,0.4,0,0
"Washington Commanders",74,16,5.4,25,86,25,67.4,46.4,20.9,3.1,2.9,0.7,0.9,0.6,0,0
"Los Angeles Chargers",75,16,5.1,26,82,26,59.8,41.6,18.2,2.8,1.9,0.7,0.3,0.2,0,0
"New York Giants",71,16,5.1,26,82,26,71.7,47.4,24.3,4.7,2.2,0.7,0.6,0.4,0.1,0
"Detroit Lions",72,16,4.9,28,78,28,61,44.5,16.5,4.1,1.8,0.4,1,0.7,0,0
"Las Vegas Raiders",70,16,4.4,29,70,29,62.2,46.6,15.6,4.3,2,0.6,0.6,0.4,0,0
"Arizona Cardinals",73,16,4.2,30,67,30,71.9,50.2,21.8,3.8,2.5,0.4,1.2,0.6,0,0
"Cincinnati Bengals",70,16,4.2,30,67,30,67.6,43,24.6,4,1.9,0.8,0.6,0.3,0.1,0
"Miami Dolphins",70,16,3.3,32,53,32,66.2,41.2,25,4.1,1.4,0.8,0.6,0.2,0.1,0