,,,,,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,-additional
Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,-9999
1,Greg Zuerlein,DAL,33,K,16,0,1,1,5,5,13,13,13,12,9,3,41,34,59,82.9%,36,33,91.7%,90,5589,60,66.7%,62.1,ZuerGr00
2,Jason Sanders+,MIA,25,K,16,0,1,1,8,8,7,7,14,12,9,8,39,36,56,92.3%,36,36,100.0%,91,5540,64,70.3%,60.9,SandJa00
3,Younghoe Koo*,ATL,26,K,15,0,,,10,10,12,11,9,8,8,8,39,37,54,94.9%,36,33,91.7%,66,4160,28,42.4%,63.0,KooxYo00
4,Rodrigo Blankenship,IND,23,K,16,0,,,10,10,13,12,11,9,3,1,37,32,53,86.5%,45,43,95.6%,20,1267,13,65.0%,63.4,BlanRo03
5,Joey Slye,CAR,24,K,16,0,,,12,11,10,10,8,7,6,1,36,29,56,80.6%,36,33,91.7%,81,5095,71,87.7%,62.9,SlyeJo00
6,Daniel Carlson,LVR,25,K,16,0,,,18,18,8,8,5,3,4,4,35,33,54,94.3%,47,45,95.7%,95,5966,61,64.2%,62.8,CarlDa00
7,Tyler Bass,BUF,23,K,16,0,1,1,9,9,9,6,9,8,6,4,34,28,58,82.4%,59,57,96.6%,101,6469,71,70.3%,64.0,BassTy00
8,Dustin Hopkins,WAS,30,K,16,0,,,5,5,8,7,17,13,4,2,34,27,51,79.4%,32,30,93.8%,78,4808,65,83.3%,61.6,HopkDu00
9,Brandon McManus,DEN,29,K,15,0,,,6,6,5,4,8,8,15,10,34,28,58,82.4%,27,24,88.9%,73,4516,54,74.0%,61.9,McMaBr01
10,Michael Badgley,LAC,25,K,16,0,,,8,8,6,6,13,8,6,2,33,24,53,72.7%,39,36,92.3%,3,177,,,59.0,BadgMi00
11,Cairo Santos,CHI,29,K,16,0,,,9,9,10,10,10,9,3,2,32,30,55,93.8%,37,36,97.3%,86,5252,42,48.8%,61.1,SantCa01
12,Graham Gano,NYG,33,K,16,0,,,4,4,13,13,9,9,6,5,32,31,55,96.9%,23,21,91.3%,73,4357,30,41.1%,59.7,GanoGr44
13,Ryan Succop,TAM,34,K,16,0,1,1,10,10,9,9,9,7,2,1,31,28,50,90.3%,57,52,91.2%,1,16,,,16.0,SuccRy44
14,Ka'imi Fairbairn,HOU,26,K,16,0,,,8,8,9,9,8,6,6,4,31,27,54,87.1%,40,37,92.5%,85,5343,52,61.2%,62.9,FairKa01
15,Justin Tucker*,BAL,31,K,16,0,,,8,8,7,6,9,9,5,3,29,26,55,89.7%,53,52,98.1%,95,6094,65,68.4%,64.1,TuckJu00
16,Wil Lutz,NOR,26,K,16,0,,,6,5,10,10,9,7,3,1,28,23,53,82.1%,58,57,98.3%,94,5929,71,75.5%,63.1,LutzWi00
17,Matt Prater,DET,36,K,16,0,,,4,4,7,7,7,4,10,6,28,21,59,75.0%,41,38,92.7%,18,1065,7,38.9%,59.2,PratMa20
18,Nick Folk,NWE,36,K,16,0,,,6,6,7,7,12,11,3,2,28,26,51,92.9%,33,30,90.9%,3,172,,,57.3,FolkNi20
19,Harrison Butker,KAN,25,K,16,0,2,2,7,7,9,9,5,3,4,4,27,25,58,92.6%,54,48,88.9%,95,6027,72,75.8%,63.4,ButkHa00
20,Stephen Gostkowski,TEN,36,K,15,0,,,3,2,5,4,10,5,8,7,26,18,55,69.2%,48,46,95.8%,86,5341,51,59.3%,62.1,GostSt20
21,Randy Bullock,CIN,31,K,12,0,,,3,3,10,8,8,7,5,3,26,21,55,80.8%,25,24,96.0%,58,3617,43,74.1%,62.4,BullRa00
22,Jason Myers,SEA,29,K,16,0,,,2,2,7,7,13,13,2,2,24,24,61,100.0%,53,49,92.5%,91,5792,52,57.1%,63.6,MyerJa00
23,Robbie Gould,SFO,38,K,15,0,,,3,3,6,5,10,9,4,2,23,19,52,82.6%,38,36,94.7%,13,577,1,7.7%,44.4,gouldrob01
24,Cody Parkey,CLE,28,K,15,0,,,5,5,6,4,11,10,,,22,19,46,86.4%,47,43,91.5%,81,5140,45,55.6%,63.5,ParkCo03
25,Dan Bailey,MIN,32,K,16,0,,,6,6,4,3,7,4,5,2,22,15,53,68.2%,43,37,86.0%,83,4948,53,63.9%,59.6,BailDa00
26,Zane Gonzalez,ARI,25,K,12,0,,,4,4,2,2,13,8,3,2,22,16,56,72.7%,39,38,97.4%,65,4112,36,55.4%,63.3,GonzZa00
27,Chris Boswell,PIT,29,K,13,0,,,5,5,6,6,8,7,1,1,20,19,59,95.0%,38,34,89.5%,73,4622,44,60.3%,63.3,BoswCh00
28,Jake Elliott,PHI,25,K,16,0,,,3,1,6,6,5,5,5,2,19,14,54,73.7%,26,24,92.3%,73,4508,46,63.0%,61.8,ElliJa03
29,Mason Crosby,GNB,36,K,16,0,1,1,1,1,5,5,5,5,4,4,16,16,57,100.0%,63,59,93.7%,82,5236,48,58.5%,63.9,CrosMa20
30,Matt Gay,LAR,26,K,7,0,,,2,2,6,5,7,6,1,1,16,14,51,87.5%,16,16,100.0%,35,2234,28,80.0%,63.8,GayxMa00
31,Sam Ficken,NYJ,28,K,9,0,,,5,5,6,6,1,1,3,1,15,13,54,86.7%,15,12,80.0%,32,1975,18,56.3%,61.7,FickSa00
32,Sam Sloman,2TM,23,K,8,0,,,3,2,6,6,3,2,1,,13,10,47,76.9%,26,23,88.5%,44,2791,24,54.5%,63.4,SlomSa00
33,Sergio Castillo,NYJ,30,K,6,0,,,2,1,4,3,5,2,2,2,13,8,55,61.5%,7,6,85.7%,,,,,,CastSe00
34,Aldrick Rosas,JAX,26,K,6,0,,,3,3,2,2,1,,5,3,11,8,54,72.7%,9,9,100.0%,20,1266,15,75.0%,63.3,RosaAl00
35,Austin Seibert,2TM,24,K,5,0,,,,,5,5,3,1,1,,9,6,48,66.7%,9,8,88.9%,20,1290,13,65.0%,64.5,SeibAu00
36,Mike Nugent,ARI,38,K,4,0,,,1,1,5,4,2,2,,,8,7,43,87.5%,7,7,100.0%,19,1202,3,15.8%,63.3,nugenmik01
37,Josh Lambo,JAX,30,K,4,0,,,,,2,2,1,1,2,2,5,5,59,100.0%,10,8,80.0%,5,227,2,40.0%,45.4,LambJo00
38,Chase McLaughlin,2TM,24,K,4,0,,,1,1,1,1,1,1,2,1,5,4,52,80.0%,6,5,83.3%,3,177,,,59.0,McLaCh00
39,Matthew Wright,PIT,24,K,3,0,,,1,1,1,1,2,2,,,4,4,46,100.0%,7,7,100.0%,15,869,1,6.7%,57.9,WrigMa00
40,Kai Forbath,LAR,33,K,2,0,,,2,2,,,1,,,,3,2,23,66.7%,5,4,80.0%,9,585,4,44.4%,65.0,ForbKa00
41,Tristan Vizcaino,SFO,24,K,1,0,,,,,2,2,1,1,,,3,3,47,100.0%,2,2,100.0%,1,65,1,100.0%,65.0,VizcTr00
42,Stephen Hauschka,JAX,35,K,1,0,,,1,,,,1,,,,2,,,0.0%,2,2,100.0%,,,,,,HausSt00
43,Jonathan Brown,JAX,28,K,1,0,,,,,2,1,,,,,2,1,31,50.0%,1,1,100.0%,1,9,,,9.0,BrowJo03
44,Taylor Russolino,DEN,31,K,1,0,,,,,,,,,1,,1,,,0.0%,3,1,33.3%,4,209,,,52.3,RussTa00
45,Elliott Fry,ATL,26,K,1,0,,,1,1,,,,,,,1,1,23,100.0%,2,1,50.0%,4,259,2,50.0%,64.8,FryxEl01
46,Jamie Gillan,CLE,23,P,16,0,,,,,,,,,1,,1,,,0.0%,,,,1,55,,,55.0,GillJa00
47,Brandon Wright,JAX,23,K,1,0,,,,,,,,,,,,,,,2,1,50.0%,,,,,,WrigBr00
48,Bradley Pinion,TAM,26,P,16,0,,,,,,,,,,,,,,,,,,100,6477,85,85.0%,64.8,PiniBr00
49,Ty Long,LAC,27,P,16,0,,,,,,,,,,,,,,,,,,81,5187,49,60.5%,64.0,LongTy00
50,Rigoberto Sanchez,IND,26,P,14,0,,,,,,,,,,,,,,,,,,77,4803,33,42.9%,62.4,SancRi00
51,Jake Bailey*+,NWE,23,P,16,0,,,,,,,,,,,,,,,,,,72,4584,42,58.3%,63.7,BailJa00
52,Mitch Wishnowsky,SFO,28,P,16,0,,,,,,,,,,,,,,,,,,67,4229,42,62.7%,63.1,WishMi00
53,Jack Fox*,DET,24,P,16,0,,,,,,,,,,,,,,,,,,60,3670,19,31.7%,61.2,FoxxJa01
54,Logan Cooke,JAX,25,P,14,0,,,,,,,,,,,,,,,,,,46,2782,25,54.3%,60.5,CookLo00
55,Braden Mann,NYJ,23,P,16,0,,,,,,,,,,,,,,,,,,28,1813,16,57.1%,64.8,MannBr01
56,Sterling Hofrichter,ATL,24,P,16,0,,,,,,,,,,,,,,,,,,22,1383,16,72.7%,62.9,HofrSt00
57,JK Scott,GNB,25,P,16,0,,,,,,,,,,,,,,,,,,16,965,4,25.0%,60.3,ScotJK00
58,Bryan Anger,HOU,32,P,16,0,,,,,,,,,,,,,,,,,,2,126,,,63.0,AngeBr00
59,Britton Colquitt,MIN,35,P,16,0,,,,,,,,,,,,,,,,,,2,105,,,52.5,ColqBr00
60,Michael Dickson,SEA,24,P,16,0,,,,,,,,,,,,,,,,,,2,26,,,13.0,DickMi00
61,Cameron Johnston,PHI,28,P,16,0,,,,,,,,,,,,,,,,,,2,118,,,59.0,JohnCa02
62,Chris Jones,DAL,31,P,8,0,,,,,,,,,,,,,,,,,,2,116,,,58.0,JoneCh02
63,Andy Lee,ARI,38,P,16,0,,,,,,,,,,,,,,,,,,2,121,,,60.5,LeexAn20
64,Sam Martin,DEN,30,P,16,0,,,,,,,,,,,,,,,,,,2,114,,,57.0,MartSa01
65,Tommy Townsend,KAN,24,P,16,0,,,,,,,,,,,,,,,,,,2,103,,,51.5,TownTo01
66,Aaron Brewer,ARI,30,LS,16,0,,,,,,,,,,,,,,,,,,1,15,,,15.0,BrewAa00
67,Keelan Cole,JAX,27,WR,16,5,,,,,,,,,,,,,,,,,,1,11,,,11.0,ColeKe00
68,Riley Dixon,NYG,27,P,16,0,,,,,,,,,,,,,,,,,,1,50,,,50.0,DixoRi00
69,Matt Haack,MIA,26,P,16,0,,,,,,,,,,,,,,,,,,1,49,,,49.0,HaacMa00
70,Brett Kern,TEN,34,P,13,0,,,,,,,,,,,,,,,,,,1,48,,,48.0,KernBr20
71,Thomas Morstead,NOR,34,P,16,0,,,,,,,,,,,,,,,,,,1,33,,,33.0,MorsTh00