Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Austin Seibert,DET,25,K,6,0,0,0,0,0,4,4,6,5,2,1,12,10,52,83.3%,5,5,100.0%,26,1324,5,19.2%,50.9
Brandon McManus,DEN,30,K,17,0,0,0,8,7,6,6,8,8,9,5,31,26,61,83.9%,34,33,97.1%,78,4975,62,79.5%,63.8
Brett Maher,NOR,32,K,8,0,0,0,4,4,9,8,4,4,1,0,18,16,42,88.9%,12,10,83.3%,37,2245,18,48.6%,60.7
Cairo Santos,CHI,30,K,17,0,0,0,10,10,5,5,13,11,2,0,30,26,47,86.7%,28,27,96.4%,71,4443,34,47.9%,62.6
Chase McLaughlin,CLE,25,K,16,0,0,0,3,3,4,4,10,4,4,4,21,15,57,71.4%,37,36,97.3%,69,4347,31,44.9%,63.0
Chris Boswell,PIT,30,K,17,0,0,0,9,9,9,8,13,11,9,8,40,36,56,90.0%,29,27,93.1%,86,5464,40,46.5%,63.5
Daniel Carlson,LVR,26,K,17,0,0,0,11,10,12,12,13,12,7,6,43,40,56,93.0%,33,30,90.9%,87,5560,53,60.9%,63.9
Dominik Eberle,HOU,25,K,1,0,0,0,1,1,0,0,0,0,2,1,3,2,51,66.7%,5,5,100.0%,8,504,3,37.5%,63.0
Dustin Hopkins,2TM,31,K,17,0,1,1,8,8,6,6,14,13,5,2,34,30,50,88.2%,44,40,90.9%,100,6298,71,71.0%,63.0
Eddy Pineiro,NYJ,26,K,5,0,0,0,2,2,2,2,3,3,1,1,8,8,51,100.0%,10,9,90.0%,0,0,0,0,0
Evan McPherson,CIN,22,K,16,0,0,0,5,5,8,8,9,6,11,9,33,28,58,84.8%,48,46,95.8%,91,5814,55,60.4%,63.9
Graham Gano,NYG,34,K,17,0,0,0,5,5,13,12,5,5,10,7,33,29,55,87.9%,17,17,100.0%,63,3901,26,41.3%,61.9
Greg Joseph,MIN,27,K,17,0,0,0,8,8,12,11,9,7,9,7,38,33,55,86.8%,40,36,90.0%,94,6004,76,80.9%,63.9
Greg Zuerlein,DAL,34,K,16,0,0,0,5,5,16,15,9,7,5,2,35,29,56,82.9%,48,42,87.5%,100,6421,80,80.0%,64.2
Harrison Butker,KAN,26,K,16,0,0,0,3,3,11,11,5,4,9,7,28,25,56,89.3%,49,47,95.9%,93,5853,61,65.6%,62.9
Jake Elliott,PHI,26,K,17,0,0,0,7,7,10,10,13,10,3,3,33,30,58,90.9%,44,44,100.0%,96,6071,61,63.5%,63.2
Jason Myers,SEA,30,K,17,0,0,0,2,2,11,9,5,3,5,3,23,17,53,73.9%,47,44,93.6%,83,5078,31,37.3%,61.2
Jason Sanders,MIA,26,K,17,0,0,0,6,6,9,7,10,8,6,2,31,23,51,74.2%,35,34,97.1%,78,4969,56,71.8%,63.7
Joey Slye,3TM,25,K,12,0,0,0,9,9,5,5,7,5,4,4,25,23,56,92.0%,22,18,81.8%,58,3690,37,63.8%,63.6
Josh Lambo,JAX,31,K,3,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0.0%,7,5,71.4%,10,595,7,70.0%,59.5
Justin Tucker,BAL,32,K,17,0,0,0,7,7,9,9,15,13,6,6,37,35,66,94.6%,32,32,100.0%,90,5443,47,52.2%,60.5
Ka'imi Fairbairn,HOU,27,K,13,0,0,0,4,4,5,5,4,2,6,4,19,15,61,78.9%,16,13,81.3%,44,2656,16,36.4%,60.4
Mason Crosby,GNB,37,K,17,0,0,0,9,9,13,9,8,4,4,3,34,25,54,73.5%,51,49,96.1%,94,6030,43,45.7%,64.1
Matt Ammendola,NYJ,25,K,11,0,0,0,5,5,6,6,5,2,3,0,19,13,49,68.4%,15,14,93.3%,47,2762,27,57.4%,58.8
Matt Gay,LAR,27,K,17,0,0,0,6,6,15,15,8,7,5,4,34,32,55,94.1%,49,48,98.0%,102,6309,65,63.7%,61.9
Matt Prater,ARI,37,K,17,0,0,0,11,11,11,9,5,3,10,7,37,30,62,81.1%,49,47,95.9%,97,6013,73,75.3%,62.0
Matthew Wright,JAX,25,K,14,0,0,0,7,7,7,7,4,3,6,4,24,21,56,87.5%,15,13,86.7%,31,1883,6,19.4%,60.7
Michael Badgley,2TM,26,K,13,0,0,0,4,4,7,6,10,8,1,0,22,18,46,81.8%,41,40,97.6%,5,270,3,60.0%,54.0
Nick Folk,NWE,37,K,17,0,0,0,9,9,11,11,11,11,8,5,39,36,53,92.3%,47,42,89.4%,12,725,3,25.0%,60.4
Randy Bullock,TEN,32,K,16,0,0,0,5,5,12,12,13,8,1,1,31,26,51,83.9%,45,42,93.3%,89,5682,50,56.2%,63.8
Riley Patterson,DET,22,K,7,0,0,0,3,3,6,6,4,4,1,0,14,13,49,92.9%,16,16,100.0%,2,14,0,0,7.0
Robbie Gould,SFO,39,K,13,0,0,0,6,6,4,4,9,7,4,3,23,20,52,87.0%,40,39,97.5%,19,1203,8,42.1%,63.3
Rodrigo Blankenship,IND,24,K,5,0,0,0,3,3,4,3,6,5,1,0,14,11,48,78.6%,8,7,87.5%,4,208,2,50.0%,52.0
Ryan Succop,TAM,35,K,17,0,0,0,11,11,8,7,10,7,1,0,30,25,48,83.3%,59,56,94.9%,1,16,0,0,16.0
Tristan Vizcaino,LAC,25,K,6,0,0,0,3,3,2,2,2,1,0,0,7,6,46,85.7%,15,10,66.7%,31,1996,13,41.9%,64.4
Tyler Bass,BUF,24,K,17,0,0,0,15,15,8,7,5,4,4,2,32,28,57,87.5%,51,51,100.0%,99,6213,56,56.6%,62.8
Younghoe Koo,ATL,27,K,17,0,0,0,8,8,9,9,7,6,5,4,29,27,54,93.1%,30,30,100.0%,56,3508,29,51.8%,62.6
