NAME,RTG,BYE,GP,FPPG,PTS ALLOW,YARDS ALLOW,PLAYS ALLOW,SACKS,FF,FR,INT,DEF TD, SP TD
"Dallas Cowboys",67,7,17,9.5,21.1,351,63.6,2.4,0.8,0.6,0.6,0.5,0.1
"New England Patriots",82,11,17,9.1,17.8,310.8,61.1,2.1,0.6,0.4,0.8,0.2,0
"Buffalo Bills",77,13,17,8.6,17,272.8,59.6,2.4,0.7,0.6,0.9,0.1,0
"Miami Dolphins",86,10,17,8.4,21.9,337.5,63.6,2.8,0.8,0.8,0.8,0.3,0
"New Orleans Saints",83,11,17,8.1,19.7,318.2,62.6,2.7,0.8,0.4,0.8,0.1,0
"Tampa Bay Buccaneers",90,5,17,7.9,20.8,331.5,64.3,2.8,0.9,0.8,0.7,0.1,0
"Kansas City Chiefs",80,10,17,7.4,21.4,368.9,62.4,1.8,1.1,0.9,0.8,0.2,0
"Indianapolis Colts",77,11,17,7.3,21.5,342.9,61.8,1.9,1,1,0.5,0.2,0
"Tennessee Titans",68,7,17,7.2,20.8,329.8,61.1,2.5,0.8,0.4,0.8,0.2,0
"Arizona Cardinals",73,14,17,7.1,21.5,329.2,60.5,2.4,1.2,0.9,0.6,0.1,0
"San Francisco 49ers",83,9,17,6.8,21.5,310,60.7,2.8,1.2,0.7,0.8,0.1,0
"Green Bay Packers",79,6,17,6.7,21.8,328.2,61,2.2,0.6,0.6,0.4,0.1,0
"Denver Broncos",87,9,17,6.5,18.9,326.1,61.1,2.1,0.4,0.4,0.5,0.1,0
"Los Angeles Rams",90,10,17,6.4,21.9,344.9,65.8,2.9,0.8,0.4,1.1,0.1,0.1
"Minnesota Vikings",84,13,17,6.4,25.1,383.6,67.8,3,0.8,0.5,0.4,0.2,0.1
"Cincinnati Bengals",63,7,17,6.3,22.1,350.8,63.2,2.4,1,0.5,0.8,0.1,0
"Philadelphia Eagles",72,10,17,6.3,22.6,328.8,63.3,1.7,0.8,0.3,0.6,0.3,0
"Cleveland Browns",86,5,17,6.2,21.8,311.5,62.1,2.5,0.7,0.4,0.8,0.1,0
"Pittsburgh Steelers",86,6,17,5.9,23.4,361.1,65.6,3.2,1.1,0.6,0.6,0.1,0
"Chicago Bears",82,13,17,5.8,23.9,316.5,59.4,2.8,0.8,0.5,1.2,0.2,0.1
"Washington Commanders",93,14,17,5.6,25.5,359.3,62.6,2.2,0.5,0.5,0.9,0.2,0.1
"New York Giants",79,13,17,5.1,24.5,354.8,66.9,2,0.7,0.5,1.2,0.1,0
"Seattle Seahawks",70,5,17,5.1,21.5,379.1,70.6,1.9,0.4,0.4,0.4,0.1,0.1
"Houston Texans",60,7,17,4.8,26.6,384.4,64.8,1.9,0.9,0.5,0.9,0.1,0.1
"Carolina Panthers",80,7,17,4.6,23.8,305.9,60.5,2.3,0.8,0.5,1.2,0.1,0
"Baltimore Ravens",88,13,17,4.5,23.1,363.4,60.8,1.9,0.5,0.4,1.1,0.1,0
"Los Angeles Chargers",76,5,17,4.2,27,360.1,64.9,2.1,1.1,0.6,0.9,0.1,0.1
"Las Vegas Raiders",69,13,17,3.7,25.8,337.1,64.9,2.1,0.8,0.6,0.8,0,0
"Atlanta Falcons",65,11,17,3.5,27,364.4,65.5,1,0.8,0.5,0.9,0.1,0
"Detroit Lions",74,9,17,3.4,27.5,379.8,64.2,1.8,0.6,0.5,0.8,0,0
"New York Jets",72,7,17,3,29.6,397.6,67.4,1.8,0.8,0.4,1.2,0.1,0.1
"Jacksonville Jaguars",70,9,17,2.9,26.9,353.1,62.8,1.9,0.5,0.2,1,0.2,0.1